dateStamp,park_sv_id,play_guid,ab_total,ab_count,pitcher_id,batter_id,ab_id,des,type,id,sz_top,sz_bot,pfx_xDataFile,pfx_zDataFile,mlbam_pitch_name,zone_location,pitch_con,stand,strikes,balls,p_throws,gid,pdes,spin,norm_ht,inning,pitcher_team,tstart,vystart,ftime,pfx_x,pfx_z,uncorrected_pfx_x,uncorrected_pfx_z,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,start_speed,px,pz,pxold,pzold,tm_spin,sb
2007-05-12,070512_214906sea,,4,4,121250,400085,80,Fielders Choice Out,X,611,3.69,1.738,-1.227,9.924,FA,3,1.32992,L,2,0,R,gid_2007_05_12_nyamlb_seamlb_1/,"In play, out(s)",186.98,1.18545,9,nya,0.10838336353648978,-136.34424700141213,0.2950839903317957,-0.8860707452673803,9.826712530664341,-1.227,9.924,-2.3679999923706054,55,6.181000057220459,7.26399995803833,-140.45100109863282,-2.960999895095825,-1.6960000171661376,37.89100064086914,-13.370000030517579,95.91,0.4247268767492811,3.898131734959837,0.487,3.871,0,02
2007-05-12,070512_215012sea,,2,1,121250,123723,81,Grounded Into DP,S,617,3.473,1.68,-0.331,10.156,FA,8,1.31984,L,0,0,R,gid_2007_05_12_nyamlb_seamlb_1/,Called Strike,181.814,0.683213,9,nya,0.10960387876129003,-134.8059462420886,0.2985867704673538,0.011768323865377324,10.05604284827236,-0.331,10.156,-2.4960000133514404,55,6.135000053405761,7.254000205993652,-138.90699475097657,-4.416000057220459,0.021999977588653574,37.41700161743164,-13.380000259399415,94.89,0.46682827202417176,3.217771567839685,0.531,3.189,0,00
2007-05-12,070512_215036sea,,2,2,121250,123723,81,Grounded Into DP,X,618,3.473,1.68,-0.761,10.672,FA,18,1.3233,L,1,0,R,gid_2007_05_12_nyamlb_seamlb_1/,"In play, out(s)",184.021,-0.430006,9,nya,0.10919868721632131,-135.37758247001625,0.2968476540031077,-0.4192679748400374,10.568936305461758,-0.761,10.672,-2.463999948501587,55,6.135000053405761,7.017000217437744,-139.3509949951172,-7.155999828338623,-0.7930000200271606,36.3869990234375,-12.189000274658204,95.26,0.3198370055788393,2.224542527869623,0.383,2.191,0,01
2007-05-16,070516_232135cha,,2,1,121250,150317,75,Pop Out,B,592,3.55,1.74,1.309,6.051,FC,9,1.03618,R,0,0,R,gid_2007_05_16_nyamlb_chamlb_2/,Ball,167.913,0.467403,9,nya,0.11158532547099578,-132.37355460495309,0.3043454080768151,1.94514862276521,6.267269304684645,1.309,6.051,-1.987000108718872,55,6.006999942779541,7.711000022888183,-136.47900170898438,-2.8370000171661376,3.4999999046325683,36.791998291015624,-20.90199951171875,93.22,1.5229637192729193,3.0190301875885446,1.539,3.068,0,00
2007-05-16,070516_232148cha,,2,2,121250,150317,75,Pop Out,X,593,3.55,1.74,1.748,9.58,FA,9,1.05802,R,0,1,R,gid_2007_05_16_nyamlb_chamlb_2/,"In play, out(s)",169.742,0.518232,9,nya,0.11071994919415605,-133.4478870506123,0.3016198574964467,2.371706180591896,9.783765678290525,1.748,9.58,-2.056000114440918,55,6.058000061035156,6.049999771118164,-137.50599450683595,-4.320000057220459,4.344999933242798,36.651998901367186,-14.25500015258789,93.89,0.8080116519717873,3.064872945149598,0.823,3.114,0,10
2007-05-16,070516_232224cha,,4,1,121250,435220,76,Single,B,597,3.452,1.979,1.588,6.576,FC,9,1.00451,L,0,0,R,gid_2007_05_16_nyamlb_chamlb_2/,Ball,166.547,0.623897,9,nya,0.11095130558377504,-133.0738865035517,0.3031370104145289,2.218090180961429,6.789351586036265,1.588,6.576,-2.2240000972747804,55,5.819000217437744,8.228999671936036,-137.31500024414063,-2.3920000839233397,4.022999906539917,38.22500076293945,-19.865000762939452,93.81,1.5284155236537003,3.125412830611089,1.545,3.175,0,00
2007-05-16,070516_232238cha,,4,2,121250,435220,76,Single,S,598,3.452,1.833,0.87,3.228,FC,8,0.644399,L,0,1,R,gid_2007_05_16_nyamlb_chamlb_2/,Called Strike,165.136,0.824583,9,nya,0.11104954120597926,-133.0556906192482,0.30248196985136505,1.4992426591777095,3.448093570717855,0.87,3.228,-2.360999942779541,55,5.817999813079834,6.014999923706054,-137.09400720214845,-0.8260000097751617,2.730999970436096,36.36500015258789,-25.89799980163574,93.56,0.3598843991581905,3.262067687071148,0.374,3.31,0,10
2007-05-16,070516_232252cha,,4,3,121250,435220,76,Single,B,599,3.452,1.833,1.548,8.569,FA,19,1.0174,L,1,1,R,gid_2007_05_16_nyamlb_chamlb_2/,Ball,169.849,-0.435454,9,nya,0.11014000109480768,-134.02561026304136,0.30118247552247157,2.1699856984326304,8.77410111441402,1.548,8.569,-2.1609998950958254,55,5.842999908447266,8.502000389099122,-138.35499353027345,-5.450000171661377,3.9869998931884765,39.30800094604492,-16.05799964904785,94.58,1.6733089335788753,2.242929419444293,1.69,2.29,0,11
2007-05-16,070516_232309cha,,4,4,121250,435220,76,Single,X,600,3.452,1.833,1.084,8.443,FA,14,1.02456,L,1,2,R,gid_2007_05_16_nyamlb_chamlb_2/,"In play, no out",172.755,0.395923,9,nya,0.11060792074559234,-133.578308317916,0.30135810280136666,1.70880711073082,8.648656449515759,1.084,8.443,-2.2789999256134035,55,6.038000080108643,7.124000129699707,-137.65000695800782,-4.222999935150146,3.1359999418258666,36.811998748779295,-16.307000198364257,94.02,0.9219378664155382,2.914517904337067,0.937,2.963,0,21
2007-05-16,070516_232350cha,,4,1,121250,346874,77,Strikeout,B,604,2.898,1.543,-5.893,6.664,FA,5,1.32591,R,0,0,R,gid_2007_05_16_nyamlb_chamlb_2/,Ball,221.292,0.920295,9,nya,0.11043563690469146,-133.78244078050093,0.300927582917961,-5.2546843358833275,6.873307257101887,-5.893,6.664,-2.1000000247955324,55,5.944000217437744,2.7930000400543213,-137.86900109863282,-3.6369999694824218,-9.671000099182129,37.00400009155273,-19.52900032043457,94.05,-1.769321175041745,2.7955581436158985,-1.76,2.844,0,00
