dateStamp,park_sv_id,play_guid,ab_total,ab_count,pitcher_id,batter_id,ab_id,des,type,id,sz_top,sz_bot,pfx_xDataFile,pfx_zDataFile,mlbam_pitch_name,zone_location,pitch_con,stand,strikes,balls,p_throws,gid,pdes,spin,norm_ht,inning,pitcher_team,tstart,vystart,ftime,pfx_x,pfx_z,uncorrected_pfx_x,uncorrected_pfx_z,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,start_speed,px,pz,pxold,pzold,tm_spin,sb
2007-04-06,070406_195239sdn,,3,1,118120,407812,25,Single,S,177,4.062,1.83,-9.551,6.032,FA,15,0.75,R,0,0,R,gid_2007_04_06_colmlb_sdnmlb_1/,Foul,237.499,-0.97043,4,sdn,0.1195323882016829,-123.43800467195095,0.3274798854899432,-8.696984398496674,6.086473079089275,-9.551,6.032,-2.889000099182129,55,5.476999816894531,7.326999786376954,-127.5399976196289,-3.088000089645386,-13.515999931335449,34.316999847412106,-22.72000065612793,87.13,-0.9641284530648826,1.8267102655117853,-0.839,1.863,0,00
2007-04-06,070406_195258sdn,,3,2,118120,407812,25,Single,S,178,4.062,1.83,-8.698,2.741,FA,10,0.66765,R,1,0,R,gid_2007_04_06_colmlb_sdnmlb_1/,Swinging Strike,252.205,0.094086,4,sdn,0.12013060179020772,-122.82320562781595,0.3291200707322614,-7.852985087728592,2.862248848669198,-8.698,2.741,-2.9739998989105225,55,5.454999980926513,5.7079998283386235,-126.90500311279297,0.7929999523162842,-12.08300032043457,33.97799914550781,-27.774999053955078,86.62,-1.6290107912878642,3.0084298359345087,-1.509,3.051,0,01
2007-04-06,070406_195318sdn,,3,3,118120,407812,25,Single,X,179,4.062,1.83,-9.01,3.022,FA,19,0.526842,R,2,0,R,gid_2007_04_06_colmlb_sdnmlb_1/,"In play, no out",251.17,-0.439964,4,sdn,0.12048166968381087,-122.50153601219179,0.32968108864916235,-8.156286549672027,3.137434925344599,-9.01,3.022,-2.774000089645386,55,5.5060000991821285,10.453000190734864,-126.49899725341797,-0.6999999887943268,-12.507000106811523,33.178999359130856,-27.367999465942383,86.54,0.6642869443688839,2.4179103003573634,0.805,2.455,0,02
2007-04-06,070406_195505sdn,,1,1,118120,425547,26,Fly Out,X,184,4.15,1.75,-4.108,2.06,CH,13,0.75,L,0,0,R,gid_2007_04_06_colmlb_sdnmlb_1/,"In play, out(s)",242.7,-0.109167,4,sdn,0.13109898277423712,-112.51072567909222,0.3596502477504521,-3.216892330359112,2.225049693762777,-4.108,2.06,-2.953999917984009,55,5.408000049591064,7.438999774932862,-116.32400183105469,1.8380000286102294,-4.1450001182556155,29.08700030517578,-29.311999710083008,79.48,0.1975356907926244,2.7803632317713514,0.34,2.819,0,00
2007-04-06,070406_195542sdn,,3,2,118120,453064,27,Strikeout,S,189,4.15,1.75,-8.646,3.292,FA,12,0.520977,R,1,0,R,gid_2007_04_06_colmlb_sdnmlb_1/,Called Strike,248.859,-0.295833,4,sdn,0.1213560524023328,-121.67445704682495,0.33145342140427103,-7.792027724281609,3.4039442226603214,-8.646,3.292,-2.880999963760376,55,5.408000049591064,8.604999664306641,-125.53200201416016,-0.1829999990463257,-11.82100023651123,31.787001068115234,-27.015000732421875,85.79,-0.19645213044522314,2.5556436415882695,-0.063,2.595,0,01
2007-04-06,070406_195624sdn,,3,3,118120,453064,27,Strikeout,S,191,4.15,1.691,-2.639,5.343,SL,12,0.633496,R,2,0,R,gid_2007_04_06_colmlb_sdnmlb_1/,Swinging Strike,206.016,-0.220821,4,sdn,0.1305579691176744,-113.06498705350144,0.35702080471103503,-1.7934163843700603,5.43301920366582,-2.639,5.343,-2.8570000343322755,55,5.420000133514404,6.378999832153321,-116.7179990234375,0.3419999771118164,-2.3449999275207523,27.979999954223633,-25.075000198364258,79.70,-0.025494054358334184,2.606212222456455,0.115,2.649,0,02
2007-04-06,070406_200519sdn,,2,1,118120,455104,31,Ground Out,S,218,3.633,1.42,-3.223,4.172,CH,8,0.75,R,0,0,R,gid_2007_04_06_colmlb_sdnmlb_1/,Foul,217.264,0.380027,5,sdn,0.1326107604603878,-111.3639894873631,0.3619794579215103,-2.340442202597116,4.292514783695698,-3.223,4.172,-2.748000066757202,55,5.512000141143798,6.924999835968018,-114.86199621582031,1.333000033378601,-2.976999897003174,26.37800067138672,-26.718999298095703,78.46,0.3129031736255172,2.903333906644626,0.455,2.947,0,00
2007-04-06,070406_200535sdn,,2,2,118120,455104,31,Ground Out,X,219,3.561,1.536,-9.831,4.867,FA,16,0.75,R,1,0,R,gid_2007_04_06_colmlb_sdnmlb_1/,"In play, out(s)",243.417,-0.301728,5,sdn,0.12060712614851127,-122.41951805688419,0.32952331803312346,-8.962222301384664,4.946292468812217,-9.831,4.867,-3.008000057220459,55,5.456999835968017,8.005000236511231,-126.3220029296875,-1.6910000152587892,-13.755999702453613,32.35700076293945,-24.58699932861328,86.31,-0.7983137151955091,2.2049901566003505,-0.672,2.243,0,01
2007-04-06,070406_200606sdn,,6,1,118120,444865,32,Strikeout,B,223,4.167,1.884,-10.639,3.155,FA,24,0.417882,R,0,0,R,gid_2007_04_06_colmlb_sdnmlb_1/,Ball,253.223,-1.50898,5,sdn,0.12268673489814846,-120.36421331967847,0.334980321882802,-9.727417971269986,3.2727696727770716,-10.639,3.155,-2.8040000610351563,55,5.4969997978210445,11.06299984741211,-124.16099981689453,-2.9700000591278077,-14.448000091552734,30.947000915527344,-27.318000228881836,85.01,0.7460242313321823,1.2767731525554158,0.884,1.303,0,00
2007-04-06,070406_200621sdn,,6,2,118120,444865,32,Strikeout,S,224,4.167,1.884,-10.327,2.8,FA,18,0.670828,R,0,1,R,gid_2007_04_06_colmlb_sdnmlb_1/,Called Strike,254.562,-0.760841,5,sdn,0.12230912925607215,-120.73914009091789,0.33391177747284545,-9.427300793795556,2.92412229249248,-10.327,2.8,-2.9000000171661378,55,5.442999897003173,10.373999717712403,-124.5409970703125,-0.9360000200271607,-14.092000144958496,31.084000045776367,-27.808,85.21,0.36628667403526016,2.1220742462890994,0.503,2.157,0,10
